state,name,picture,href
North Carolina,Richard Burr,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Richard_Burr_official_portrait_%28cropped%29.jpg/95px-Richard_Burr_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Richard_Burr
North Carolina,Thom Tillis,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Thom_Tillis_Official_Photo_%28cropped%29.jpg/95px-Thom_Tillis_Official_Photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Thom_Tillis
North Dakota,John Hoeven,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Hoeven_Official_Portrait_2014_%28cropped%29.JPG/95px-Hoeven_Official_Portrait_2014_%28cropped%29.JPG,https://en.wikipedia.org/wiki/wiki/John_Hoeven
North Dakota,Kevin Cramer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Kevin_Cramer%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/95px-Kevin_Cramer%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Kevin_Cramer
Ohio,Sherrod Brown,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sherrod_Brown_official_photo_2009_2_%28cropped%29.jpg/95px-Sherrod_Brown_official_photo_2009_2_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Sherrod_Brown
Ohio,Rob Portman,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Rob_Portman_official_portrait_%28cropped%29.jpg/95px-Rob_Portman_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Rob_Portman
Oklahoma,Jim Inhofe,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Jim_Inhofe_official_portrait_%28cropped%29.jpg/95px-Jim_Inhofe_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Jim_Inhofe
Oklahoma,James Lankford,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/James_Lankford_official_portrait_115th_congress_%28cropped%29.jpg/95px-James_Lankford_official_portrait_115th_congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/James_Lankford
Oregon,Ron Wyden,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ron_Wyden_official_photo_%28cropped%29.jpg/95px-Ron_Wyden_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Ron_Wyden
Oregon,Jeff Merkley,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Jeff_Merkley%2C_115th_official_photo_%28cropped%29.jpg/95px-Jeff_Merkley%2C_115th_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Jeff_Merkley
Pennsylvania,Bob Casey Jr.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bob_Casey_Jr._official_photo_%28cropped%29.jpg/95px-Bob_Casey_Jr._official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Bob_Casey_Jr.
